2019-M020,106034,200005,6-4 7-6(6),3,R32,90.0,12.0,0.0,58.0,43.0,39.0,10.0,11.0,0.0,0.0,6.0,4.0,75.0,45.0,35.0,14.0,11.0,0.0,1.0,185.0,275.0,102.0,572.0
2019-M020,105777,106415,6-3 6-4,3,R32,79.0,9.0,6.0,76.0,43.0,37.0,12.0,10.0,6.0,7.0,1.0,1.0,47.0,33.0,21.0,7.0,9.0,0.0,3.0,19.0,1835.0,75.0,701.0
2019-M020,105357,105815,7-6(6) 6-7(6) 6-0,3,R32,153.0,8.0,2.0,98.0,68.0,49.0,15.0,15.0,3.0,5.0,12.0,4.0,106.0,63.0,44.0,20.0,15.0,13.0,18.0,38.0,1083.0,61.0,814.0
2019-M020,106045,126203,7-6(5) 6-7(2) 6-4,3,R32,144.0,8.0,4.0,117.0,73.0,58.0,26.0,17.0,4.0,4.0,22.0,4.0,123.0,72.0,57.0,27.0,17.0,9.0,10.0,63.0,810.0,49.0,974.0
2019-M020,215018,201540,6-3 7-6(2),3,R32,108.0,4.0,3.0,93.0,60.0,44.0,17.0,11.0,9.0,9.0,5.0,4.0,69.0,34.0,27.0,18.0,10.0,4.0,5.0,247.0,226.0,43.0,1155.0
2019-M020,211279,211880,1-6 6-3 6-4,3,R32,120.0,2.0,2.0,86.0,48.0,29.0,17.0,13.0,11.0,17.0,8.0,1.0,80.0,44.0,33.0,12.0,13.0,3.0,9.0,149.0,392.0,157.0,371.0
2019-M020,201545,201611,6-3 6-3,3,R32,83.0,3.0,2.0,49.0,26.0,22.0,11.0,9.0,0.0,2.0,2.0,4.0,72.0,46.0,22.0,13.0,9.0,4.0,9.0,11.0,3240.0,35.0,1335.0
2019-M020,201520,203389,6-7(6) 7-6(6) 6-3,3,R32,181.0,9.0,8.0,117.0,75.0,51.0,20.0,16.0,6.0,9.0,7.0,4.0,123.0,58.0,37.0,34.0,17.0,6.0,11.0,7.0,4630.0,36.0,1319.0
2019-M020,204426,201521,6-0 6-3,3,R32,52.0,5.0,1.0,48.0,33.0,25.0,9.0,8.0,1.0,1.0,2.0,1.0,38.0,24.0,15.0,4.0,7.0,3.0,7.0,20.0,2480.0,23.0,2153.0
2019-M020,201615,202596,6-0 6-2,3,R32,57.0,2.0,2.0,40.0,26.0,21.0,10.0,7.0,0.0,0.0,1.0,5.0,45.0,23.0,13.0,5.0,7.0,2.0,7.0,27.0,1755.0,24.0,1820.0
